domain,open_page_rank,referring_domains,status,concentration_risk,concentrated_risk,ahrefs_domain_rating,wayback_snapshots,stale_snapshot,Has Full Words,Words Found,Comment,tier,composite_score,wayback_first_seen,wayback_last_seen
localgems.ie,0.24,0,has_data,False,False,14,1,,,,,SKIP — below minimum thresholds,15.2,2026-05-27,2026-05-27
devanesbutchers.ie,0.23,0,not_found,False,False,14,93,,No,,,,,2020-10-31,2026-04-21
ecmcreative.ie,,,not_found,,,14,0,,Yes,creative,,,,,
shopcountykildare.ie,0.66,2,has_data,False,False,13,5000,664,No,,,SKIP — below minimum thresholds,17.3,2020-08-04,2024-11-08
infinityhotyoga.ie,0.43,1,has_data,False,False,13,1185,1440,Yes,yoga,,,,2016-07-10,2022-09-24
elight.ie,0.41,1,has_data,False,False,13,1839,2136,No,,,,,2010-10-02,2020-10-28
scarp.ie,0.41,1,has_data,False,False,13,1160,,No,,,SKIP — below minimum thresholds,15.55,2021-12-24,2026-06-08
tymcc.ie,0.4,1,has_data,False,False,13,81,,,,,SKIP — below minimum thresholds,15.5,2022-06-25,2026-06-09
growyourbrand.ie,0.26,0,has_data,False,False,13,9,1182,Yes,brand,,,,2022-01-08,2023-06-09
headonfitness.ie,0.24,0,has_data,False,False,13,577,,Yes,fitness,,SKIP — below minimum thresholds,14.2,2020-10-22,2026-03-06
mickthechipperonline.ie,,,not_found,,,13,22,,,,,,,2021-12-17,2025-11-15
creativityandchange.ie,1.68,11,has_data,False,False,12,2016,,No,,,,,2017-09-06,2026-02-12
aestheticdublin.ie,0.78,3,has_data,False,False,12,1118,,Yes,"aesthetic, dublin",,,,2021-12-05,2026-04-18
enniscorthyshd2.ie,0.45,1,has_data,False,False,12,264,,,,,SKIP — below minimum thresholds,14.75,2022-05-01,2026-06-13
irishmedicalnegligence.ie,0.4,1,has_data,False,False,12,2532,,Yes,"medical, irish",,,,2014-04-30,2026-05-20
jennieritchie.ie,0.4,1,has_data,False,False,12,790,412,,,,,,2017-12-31,2025-07-18
webnanny.ie,0.4,1,has_data,False,False,12,3869,1187,No,,,,,2008-08-17,2023-06-04
sharpdigital.ie,0.27,0,has_data,False,False,12,0,,Yes,digital,,,,,
visionlight.ie,,,not_found,,,12,,,No,,,,,,
enchantedkingdom.ie,1.28,5,has_data,False,False,11,215,,,,,SKIP — below minimum thresholds,19.9,2024-09-15,2025-09-16
letsmakehistory.ie,1.23,3,has_data,True,True,11,5000,,,,,,,2015-05-01,2026-01-25
westclarementalhealth.ie,1.11,1,has_data,True,True,11,1244,,,,,,,2022-05-18,2026-06-10
crystalproject.ie,0.76,2,has_data,False,False,11,5000,,No,,,,,2015-07-14,2026-02-19
lainealcantara.ie,0.46,1,has_data,False,False,11,453,,,,,,,2017-11-04,2026-04-11
ballycastlerooms.ie,0.41,1,has_data,False,False,11,3386,564,,,,,,2020-08-05,2025-02-16
medicalinjuriesalliance.ie,0.28,0,has_data,False,False,11,708,441,Yes,"alliance, medical",,,,2011-12-11,2025-06-19
tradesmanonline.ie,0.26,0,has_data,False,False,11,215,,,,,,,2023-12-08,2025-12-08
lucanflowers.ie,0.24,0,has_data,False,False,11,2565,,,,,SKIP — below minimum thresholds,12.2,2017-05-15,2026-05-15
ingadi.ie,0.23,0,has_data,False,False,11,1479,,,,,,,2022-06-28,2026-02-12
midnitecasino.ie,0.23,0,has_data,False,False,11,4,,No,,,,,2025-07-20,2025-09-14
carwashlongmile.ie,,,not_found,,,11,0,,,,,,,,
fixbytemedia.ie,,,not_found,,,11,0,,,,,,,,
onevitals.ie,,,not_found,,,11,,,,,,,,,
tullaghbayequestrian.ie,0.86,3,has_data,False,False,10,1731,686,,,,,,2013-08-29,2024-10-17
virtualrecruitment.ie,0.85,3,has_data,False,False,10,4648,915,,,,,,2017-11-04,2024-03-02
affordablehome.ie,0.79,2,has_data,False,False,10,5000,,Yes,home,,,,2006-05-20,2026-05-17
thehuntedhog.ie,0.63,2,has_data,False,False,10,502,728,No,,,,,2017-04-16,2024-09-05
passporttochristmas.ie,0.6,2,has_data,False,False,10,19,,Yes,sport,,,,2025-10-09,2026-05-10
opposhop.ie,0.56,1,has_data,False,False,10,202,596,,,,,,2024-07-25,2025-01-15
bespokewebconsultancy.ie,0.25,0,has_data,False,False,10,8,,No,Bespoke Web Consultancy,,,,2018-08-29,2026-02-08
irishshirts.ie,0.23,0,has_data,False,False,10,148,,,,,SKIP — below minimum thresholds,11.15,2023-03-16,2026-06-11
bestquotebrokers.ie,,,not_found,,,10,,,,,,,,,
caravanaccessories.ie,,,not_found,,,10,0,,,,,,,,
sneemorganicwools.ie,,,not_found,,,10,,,,,,,,,
w247ss.ie,,,not_found,,,10,,,,,,,,,
assumptionwalkinstown.ie,1.17,4,has_data,False,False,9,4499,,Yes,assumption,,,,2016-05-04,2026-08-09
designcollie.ie,0.71,2,has_data,False,False,9,20,,Yes,design,,,,2024-05-03,2026-03-11
heritagetourswexford.ie,0.63,2,has_data,False,False,9,2930,476,Yes,"wexford, tour",,,,2015-08-22,2025-05-15
cobraracing.ie,0.41,1,has_data,,,9,,,No,,,,,,
scoilchroinaofaathenry.ie,0.4,1,has_data,False,False,9,5000,,,,,SKIP — below minimum thresholds,11.5,2016-03-05,2026-05-14
mybusinessaccelerator.ie,0.24,0,has_data,False,False,9,16,,,,,SKIP — below minimum thresholds,10.2,2024-11-17,2026-05-09
cd3d.ie,0.23,0,has_data,False,False,9,292,,,,,SKIP — below minimum thresholds,10.15,2024-05-23,2026-05-10
itemsforsale.ie,2.63,20,has_data,False,False,8,4199,,,,,SKIP — below minimum thresholds,31.15,2021-12-09,2026-06-06
irishrsa.ie,1.24,6,has_data,False,False,8,1373,,Yes,irish,,,,2017-11-04,2026-04-15
poetrytown.ie,1.13,5,has_data,False,False,8,0,,,,,,,,
morrisseysofdoonbeg.ie,0.99,4,has_data,False,False,8,27,,,,,SKIP — below minimum thresholds,14.95,2021-12-15,2025-12-02
cheesepressennistymon.ie,0.97,4,has_data,False,False,8,582,616,,,,,,2020-12-13,2024-12-26
oralhygiene.ie,0.96,4,has_data,False,False,8,2531,394,,,,SKIP — below minimum thresholds,14.8,2020-10-31,2025-08-05
pitmantrainingswords.ie,0.87,3,has_data,False,False,8,4508,,,,,,,2011-06-04,2025-09-07
thatslifegalway.ie,0.77,3,has_data,False,False,8,257,,Yes,galway,,SKIP — below minimum thresholds,13.35,2024-08-05,2026-06-06
endofwin10.ie,0.76,3,has_data,False,False,8,69,,,,,SKIP — below minimum thresholds,13.3,2025-07-15,2026-04-02
iyoga.ie,0.55,2,has_data,False,False,8,5000,,,,,SKIP — below minimum thresholds,11.75,2011-07-11,2026-06-09
waterwise.ie,0.42,1,has_data,False,False,8,1301,,,,,,,2008-08-01,2026-06-13
skyscrapergroup.ie,0.41,1,has_data,False,False,8,236,,Yes,group,,,,2023-03-29,2026-06-07
slowtime.ie,0.41,1,has_data,False,False,8,153,,,,,,,2021-08-05,2026-04-18
elizabeththelifecoach.ie,0.4,1,has_data,,,8,,,Yes,coach,,,,,
grocerybrandsolutions.ie,0.4,1,has_data,False,False,8,401,539,,,,,,2013-04-21,2025-03-13
plot2220.ie,0.4,1,has_data,False,False,8,149,,,,,,,2020-11-01,2026-06-09
africannurses.ie,,,not_found,,,8,48,,,,,,,2024-06-10,2025-09-15
bloominglillies.ie,,,not_found,,,8,,,No,,,,,,
spainpadeltrips.ie,,,not_found,,,8,,,No,,,,,,
avalonrc.ie,1.28,7,has_data,False,False,7,4248,,,,,SKIP — below minimum thresholds,16.9,2009-07-06,2026-02-17
margueritesbakery.ie,1.09,5,has_data,False,False,7,866,,,,,SKIP — below minimum thresholds,14.95,2017-04-01,2026-05-17
kimsharkey.ie,0.86,3,has_data,False,False,7,2590,585,No,,,,,2016-05-08,2025-01-26
novaerus.ie,0.61,2,has_data,False,False,7,929,809,,,,,,2014-12-23,2024-06-16
360crew.ie,0.56,2,has_data,False,False,7,1540,827,,,,,,2016-06-18,2024-05-29
witsu.ie,0.47,1,has_data,False,False,7,5000,,,,,,,2005-12-10,2026-04-19
lintenafarraige.ie,0.46,1,has_data,False,False,7,20,,,,,,,2024-08-08,2025-11-01
deeproutegardening.ie,0.4,1,has_data,False,False,7,4931,,,,,,,2013-05-08,2026-05-18
dreway.ie,0.4,1,has_data,False,False,7,9,783,No,,,,,2024-01-11,2024-07-12
pgw.ie,0.4,1,has_data,False,False,7,8,,No,,,,,2011-02-21,2025-11-21
louiseeshearer.ie,0.24,0,has_data,False,False,7,100,1190,,,,SKIP — below minimum thresholds,3.9,2021-05-17,2023-06-01
peace-commissioner.ie,0.24,0,not_found,False,False,7,1,,,,,,,2026-07-07,2026-07-07
bytheseaholidays.ie,0.23,0,has_data,False,False,7,2060,,,,,SKIP — below minimum thresholds,8.15,2020-11-01,2026-05-19
leinsterhearingservices.ie,0.23,0,has_data,False,False,7,2649,,,,,,,2016-07-07,2025-09-06
mdskyshots.ie,0.23,0,has_data,False,False,7,84,,,,,SKIP — below minimum thresholds,8.15,2024-02-02,2026-06-11
shs-renewables.ie,0.23,0,has_data,False,False,7,1556,,,,,,,2010-12-15,2026-02-19
enterprisingcoaching.ie,,,not_found,,,7,,,Yes,coaching,,,,,
hynesbuilding.ie,,,not_found,,,7,0,,,,,,,,
imagehomeimprovments.ie,,,not_found,,,7,,,,,,,,,
irishrevenue.ie,,,not_found,,,7,,,,,,,,,
rioservices.ie,,,not_found,,,7,,,,,,,,,
smartscale-ai.ie,,,not_found,,,7,,,,,,,,,
vertexpainting.ie,,,not_found,,,7,,,Yes,painting,,,,,
urbanoutdoordesign.ie,1.66,13,has_data,False,False,6,1715,,,,,SKIP — below minimum thresholds,20.8,2023-11-29,2025-11-25
brd.ie,1.2,5,has_data,False,False,6,1836,1438,No,,,SKIP — below minimum thresholds,14.5,1998-04-24,2022-09-26
braywomenshealthcentre.ie,0.94,2,has_data,False,False,6,3712,527,Yes,health,,SKIP — below minimum thresholds,11.7,2001-02-01,2025-03-25
sweetpotatopizza.ie,0.86,3,has_data,False,False,6,801,587,No,,,,,2017-11-04,2025-01-24
visitmalahide.ie,0.73,2,has_data,False,False,6,2276,1965,,,,SKIP — below minimum thresholds,10.65,2007-11-29,2021-04-17
cancare4living.ie,0.71,2,has_data,False,False,6,2255,,Yes,care,,,,2014-10-06,2026-06-07
opencirclearts.ie,0.68,2,has_data,False,False,6,3635,826,,,,,,2014-07-19,2024-05-30
naasfarmersmarket.ie,0.66,2,has_data,False,False,6,412,587,Yes,market,,,,2014-12-22,2025-01-24
fitzpatrickandco.ie,0.64,2,has_data,False,False,6,2000,,No,,,,,2017-03-19,2026-05-18
grandtour.ie,0.64,2,has_data,False,False,6,1792,,Yes,tour,,,,2012-12-19,2026-02-06
sensoryfoodnetworkireland.ie,0.61,2,has_data,False,False,6,2475,,Yes,"ireland, food, work",,SKIP — below minimum thresholds,10.05,2015-09-26,2026-05-16
lstouchfit.ie,0.59,2,has_data,False,False,6,141,519,No,,,,,2018-07-20,2025-04-02
chambersbar.ie,0.56,2,has_data,False,False,6,375,513,,,,,,2007-09-21,2025-04-08
lanesboroughprimaryschool.ie,0.47,1,has_data,False,False,6,0,,,,,SKIP — below minimum thresholds,8.85,,
midlandroofing.ie,0.43,1,has_data,False,False,6,269,1685,,,,SKIP — below minimum thresholds,8.65,2020-10-23,2022-01-22
nchd.ie,0.43,1,has_data,False,False,6,1251,,,,,,,2008-08-21,2026-05-16
80max.ie,0.42,1,has_data,False,False,6,5000,,,,,SKIP — below minimum thresholds,8.6,2019-03-15,2026-06-11
connemara-thatched-cottages.ie,0.42,1,has_data,False,False,6,1791,,No,,,,,2004-02-08,2025-12-06
emischool.ie,0.42,1,has_data,False,False,6,5000,1863,,,,,,2017-11-04,2021-07-28
chapterone.ie,0.41,1,has_data,False,False,6,3418,710,,,,SKIP — below minimum thresholds,8.55,2005-12-01,2024-09-23
portlandhairclinic.ie,0.41,1,not_found,False,False,6,303,528,,,,,,2020-10-21,2025-03-24
maintenanceplus4u.ie,0.4,1,has_data,False,False,6,1183,,,,,SKIP — below minimum thresholds,8.5,2017-06-24,2026-05-11
chemdryeastside.ie,0.25,0,has_data,False,False,6,153,,No,,,,,2023-09-29,2025-10-15
daveryan.ie,0.25,0,has_data,False,False,6,4711,1260,No,,,SKIP — below minimum thresholds,7.25,2010-11-28,2023-03-23
ancestralwellness.ie,0.24,0,has_data,False,False,6,228,,Yes,wellness,,,,2021-11-25,2025-09-16
haigneyrestoration.ie,0.24,0,has_data,False,False,6,2834,531,No,,,SKIP — below minimum thresholds,7.2,2010-12-17,2025-03-21
westcoastdoulas.ie,0.24,0,has_data,False,False,6,129,,,,,SKIP — below minimum thresholds,7.2,2019-07-22,2026-05-13
littlepuddleschildcare.ie,0.23,0,has_data,False,False,6,46,,,,,SKIP — below minimum thresholds,7.15,2023-02-25,2026-06-09
awsclub.ie,,,not_found,,,6,0,,,,,,,,
bonco.ie,,,not_found,,,6,0,,No,,,,,,
kellyinteriordesign.ie,,,not_found,,,6,,,,,,,,,
curlhut.ie,0.8,3,has_data,False,False,5,1997,469,,,,,,2021-06-08,2025-05-22
thestonehousebnb.ie,0.62,2,has_data,False,False,5,4515,,Yes,house,,,,2016-06-16,2026-06-06
corkdenturesurgery.ie,0.45,1,has_data,False,False,5,168,,Yes,cork,,,,2021-11-28,2025-09-12
giftboxireland.ie,0.42,1,has_data,False,False,5,1213,,,,,SKIP — below minimum thresholds,7.6,2017-11-04,2026-06-08
rocdoc.ie,0.41,1,has_data,False,False,5,4744,453,,,,SKIP — below minimum thresholds,7.55,2013-08-18,2025-06-07
railwaycountryhouse.ie,0.4,1,has_data,False,False,5,49,393,,,,,,2019-11-13,2025-08-06
doulanamara.ie,0.26,0,has_data,False,False,5,0,,,,,SKIP — below minimum thresholds,6.3,,
bellavista.ie,0.23,0,has_data,False,False,5,204,,,,,,,2007-11-29,2026-04-18
johnquinntv.ie,0.23,0,not_found,False,False,5,5000,669,No,,,,,2013-08-18,2024-11-03
thepantryatcliff.ie,0.23,0,has_data,False,False,5,450,384,,,,,,2021-07-30,2025-08-15
camelotmarquees.ie,,,not_found,,,5,,,No,,,,,,
fionachadwickcounselling.ie,,,not_found,,,5,,,,,,,,,
mobilesolutions.ie,,,not_found,,,5,,,Yes,solutions,,,,,
shorelinedesign.ie,,,not_found,,,5,,,Yes,design,,,,,
sligosummerfestival.ie,0.42,1,has_data,False,False,4.9,120,,,,,,,2017-08-02,2026-03-09
bealtainefestival.ie,0.41,1,has_data,False,False,4.9,0,,No,,,SKIP — below minimum thresholds,7.35,,
frontstepproject.ie,0.23,0,has_data,False,False,4.9,135,,No,,,SKIP — below minimum thresholds,6.05,2021-02-24,2026-05-12
gentlewarrior.ie,0.23,0,has_data,False,False,4.9,1446,,,,,,,2020-08-13,2026-05-21
wannabeproductions.ie,0.23,0,has_data,False,False,4.9,135,,,,,,,2022-06-17,2026-05-10
craigclohessy.ie,,,not_found,,,4.9,0,,No,,,,,,
legalprotectiongroup.ie,0.41,1,has_data,False,False,4.8,109,2045,Yes,"legal, group",,,,2017-11-04,2021-01-27
baby-world.ie,0.23,0,has_data,False,False,4.8,5000,,,,,,,2014-09-28,2025-11-22
gogolfireland.ie,0.23,0,has_data,,,4.8,297,,Yes,ireland,,,,2007-11-29,2026-02-18
hypnosport.ie,,,not_found,,,4.8,0,,Yes,sport,,,,,
wearefemale.ie,,,not_found,,,4.8,,,,,,,,,
theboatinn.ie,0.79,3,has_data,False,False,4.7,1512,,No,,,,,2015-09-11,2025-10-11
ulysses80.ie,0.78,3,has_data,False,False,4.7,144,515,No,,,SKIP — below minimum thresholds,10.1,2022-05-23,2025-04-06
carrowgarryfarm.ie,0.41,1,has_data,False,False,4.7,121,,,,,SKIP — below minimum thresholds,7.15,2021-11-29,2026-02-13
gullionparklrd.ie,,,not_found,,,4.7,,,No,,,,,,
dogsercise.ie,0.65,2,has_data,False,False,4.6,287,,No,,,SKIP — below minimum thresholds,8.55,2021-04-28,2026-05-17
creation.ie,0.61,2,has_data,False,False,4.6,317,,Yes,creation,,,,2004-11-26,2026-05-10
atlanticcharters.ie,0.6,2,has_data,False,False,4.6,3406,,,,,SKIP — below minimum thresholds,8.6,2009-09-27,2026-06-12
padrelagroupul.ie,0.42,1,has_data,False,False,4.6,352,585,,,,,,2020-11-28,2025-01-26
micadsecurity.ie,0.23,0,has_data,False,False,4.6,959,865,,,,SKIP — below minimum thresholds,5.75,2014-12-20,2024-04-21
theweblab.ie,,,not_found,,,4.6,,,No,,,,,,
galwaysummervibes.ie,0.59,2,has_data,False,False,4.5,202,,,,,SKIP — below minimum thresholds,8.25,2025-11-08,2025-12-27
lotusyoga.ie,0.55,2,has_data,False,False,4.5,1563,,Yes,yoga,,SKIP — below minimum thresholds,7.05,2007-01-23,2026-01-23
facilitypartners.ie,0.25,0,has_data,False,False,4.5,71,,No,facility partners,,SKIP — below minimum thresholds,5.75,2024-05-09,2025-10-12
euanbrady.ie,,,not_found,,,4.5,,,,,,,,,
boltontrust.ie,0.71,2,has_data,False,False,4.4,93,563,,,,,,2019-06-26,2025-02-17
avianworlddublin.ie,0.24,0,has_data,False,False,4.4,530,514,Yes,dublin,,,,2021-11-27,2025-04-07
corkphotobooths.ie,,,not_found,,,4.4,,,Yes,"photo, cork",,,,,
hashtagsocial.ie,,,not_found,,,4.4,0,,Yes,social,,,,,
liffey-dental.ie,,,not_found,,,4.4,,,Yes,dental,,,,,
mickeyfinn.ie,0.58,2,has_data,False,False,4.3,684,1224,,,,,,2007-03-09,2023-04-28
breendigital.ie,0.25,0,has_data,False,False,4.3,0,,Yes,digital,,,,,
knockrabo.ie,0.25,0,has_data,False,False,4.3,1033,2169,,,,SKIP — below minimum thresholds,5.55,2017-01-24,2020-09-25
electromaster.ie,0.24,0,has_data,False,False,4.3,4236,1254,No,,,SKIP — below minimum thresholds,4.1,2001-04-02,2023-03-29
kateswiftphotography.ie,,,not_found,,,4.3,,,Yes,photography,,,,,
tablewine.ie,1.19,6,has_data,False,False,4.2,18,597,,,,SKIP — below minimum thresholds,13.15,2021-12-26,2025-01-14
grassrootsgaa.ie,0.86,3,has_data,False,False,4.2,279,,No,,,,,2014-04-10,2026-06-08
ymaagorey.ie,0.24,0,has_data,False,False,4.2,1843,,,,,SKIP — below minimum thresholds,5.4,2013-08-29,2026-06-09
goldenratioclinic.ie,0.41,1,has_data,False,False,4.1,0,,,,,SKIP — below minimum thresholds,6.65,,
rossdale.ie,,,not_found,,,4.1,,,,,,,,,
visitfingal.ie,0.45,1,has_data,False,False,4,2432,2539,,,,SKIP — below minimum thresholds,6.65,2014-07-15,2019-09-21
eggchairsireland.ie,,,not_found,,,4,0,,,,,,,,
rodentshieldsystems.ie,,,not_found,,,4,,,,,,,,,
restaurantmanagement.ie,0.4,1,has_data,False,False,3.9,1340,3518,,,,SKIP — below minimum thresholds,6.4,2010-07-01,2017-01-15
smartwash.ie,0.24,0,has_data,False,False,3.9,42,,,,,SKIP — below minimum thresholds,5.1,2021-12-25,2026-06-08
chooseutherapies.ie,0.23,0,has_data,,,3.9,,,No,,,,,,
employerbrandingacademy.ie,,,not_found,,,3.9,,,,,,,,,
shiftinggears.ie,,,not_found,,,3.9,,,No,,,,,,
stonemachinery.ie,,,not_found,,,3.9,,,No,,,,,,
horseridingmonaghan.ie,1.04,4,has_data,False,False,3.8,1030,,,,,SKIP — below minimum thresholds,11,2016-03-07,2025-09-06
irishmaritimelaw.ie,0.43,1,has_data,False,False,3.8,590,,Yes,irish,,,,2017-10-10,2026-05-11
inspirementoring.ie,0.4,1,has_data,False,False,3.8,697,,No,,,,,2023-05-20,2026-06-10
sinnottsonthestrand.ie,0.4,1,has_data,False,False,3.8,223,531,,,,,,2021-02-27,2025-03-21
landdqualitycleaning.ie,0.24,0,has_data,False,False,3.8,3,557,,,,SKIP — below minimum thresholds,5,2024-08-25,2025-02-23
customoutfits.ie,0.23,0,has_data,False,False,3.8,355,,No,,,,,2019-08-23,2026-05-19
jestfest.ie,0.23,0,has_data,False,False,3.8,5000,,,,,,,2015-03-26,2025-09-09
tmrmarks.ie,0.23,0,has_data,False,False,3.8,1651,420,,,,SKIP — below minimum thresholds,4.95,2013-01-17,2025-07-10
artistworkspaces.ie,1.11,5,has_data,False,False,3.7,151,,Yes,"artist, work",,,,2020-07-16,2026-05-20
cedre.ie,0.63,2,has_data,False,False,3.7,775,,No,,,,,2017-06-09,2026-04-18
lanidor.ie,0.57,2,has_data,False,False,3.7,5000,779,No,,,,,2017-10-10,2024-07-16
carellabeautytraining.ie,0.4,1,has_data,False,False,3.7,969,,Yes,"training, beauty, care",,,,2017-09-12,2026-05-17
getvisual.ie,0.4,1,has_data,False,False,3.7,230,,,,,SKIP — below minimum thresholds,6.2,2022-06-24,2026-06-13
briannaughton.ie,0.24,0,has_data,False,False,3.7,481,1607,,,,SKIP — below minimum thresholds,3.9,2016-01-05,2022-04-10
coonanmorgan.ie,0.24,0,has_data,False,False,3.7,1902,970,,,,SKIP — below minimum thresholds,4.9,2017-06-20,2024-01-07
litoleisure.ie,,,not_found,,,3.7,,,No,,,,,,
cookingforfreedom.ie,0.97,4,has_data,False,False,3.6,55,797,No,,,SKIP — below minimum thresholds,10.45,2019-05-30,2024-06-28
atlantic-design.ie,0.74,2,has_data,False,False,3.6,67,503,,,,,,2021-11-26,2025-04-18
emeraldglamping.ie,0.47,1,has_data,False,False,3.6,393,,No,,,,,2013-06-29,2026-03-06
westierescue.ie,0.24,0,has_data,False,False,3.6,1703,,,,,,,2009-07-29,2026-04-20
couture.ie,0.23,0,has_data,,,3.6,,,No,,,,,,
dawncounselling.ie,,,not_found,,,3.6,,,No,,,,,,
lifepathdesigns.ie,,,not_found,,,3.6,,,Yes,design,,,,,
ispcctaxback.ie,0.56,1,has_data,False,False,3.5,40,,No,,,,,2021-06-15,2025-09-08
abina.ie,0.42,1,has_data,False,False,3.5,4414,426,,,,SKIP — below minimum thresholds,6.1,2017-11-03,2025-07-04
